Date,XAU_Close,XAU_Open,XAU_High,XAU_Low,S&P500,SLV,OIL,EURUSD
07/11/2022,1733.67,1742.86,1744.92,1731.01,3854.43,19.132,104.09,1.0039
07/08/2022,1741.82,1740.05,1752.5,1733.24,3899.38,19.236,104.79,1.0183
07/07/2022,1739.61,1738.93,1749.14,1735.95,3902.62,19.188,102.73,1.0159
07/06/2022,1738.3,1764.87,1773.06,1731.75,3845.08,19.159,98.53,1.0181
07/05/2022,1764.35,1808.74,1812.42,1763.48,3831.39,19.121,99.5,1.0266
07/04/2022,1809.12,1812.27,1814.36,1803.45,,19.121,110.4,1.0421
07/01/2022,1810.18,1807.31,1812.09,1784.1,3825.33,19.667,108.43,1.0428
06/30/2022,1806.89,1817.8,1825.9,1802.2,3785.38,20.352,105.76,1.0482
06/29/2022,1817.11,1819.95,1833.24,1812.1,3818.83,20.738,109.78,1.0439
06/28/2022,1819.69,1822.85,1830.09,1818.2,3821.55,20.839,111.76,1.0518
06/27/2022,1822.73,1838.15,1841.34,1820.4,3900.11,21.178,109.57,1.0583
06/24/2022,1826.18,1822.88,1832.15,1816.7,3911.74,21.139,107.62,1.0554
06/23/2022,1822.43,1837.87,1846.19,1821.88,3795.73,21.056,104.27,1.0523
06/22/2022,1837.39,1832.96,1848.44,1823.23,3759.89,21.465,106.19,1.0565
06/21/2022,1832.56,1838.37,1844.15,1828.29,3764.79,21.813,110.65,1.0525
06/20/2022,1838.29,1840.4,1846.42,1834.49,,21.768,108.84,1.0509
06/17/2022,1839.35,1857.34,1858.29,1833.72,3674.84,21.635,109.56,1.0498
06/16/2022,1856.71,1833.99,1857.91,1815.95,3666.77,21.928,117.59,1.0547
06/15/2022,1833.38,1808.35,1841.74,1807.24,3789.99,21.463,115.31,1.0443
06/14/2022,1808.1,1819.1,1832.19,1804.65,3735.48,21,118.93,1.0414
06/13/2022,1818.77,1875.8,1877.38,1818.9,3749.63,21.305,120.93,1.0408
06/10/2022,1870.96,1848.09,1876.47,1825.02,3900.86,21.979,120.67,1.0515
06/09/2022,1847.61,1853.53,1855.52,1839.6,4017.82,21.864,121.51,1.0614
06/08/2022,1853.26,1852.51,1859.9,1844.35,4115.77,22.148,122.11,1.0714
06/07/2022,1851.97,1841.6,1855.86,1836.73,4160.68,22.233,119.41,1.0699
06/06/2022,1841,1850.29,1858.15,1840.5,4121.43,22.147,118.5,1.0694
06/03/2022,1850.77,1868.53,1874.3,1847.02,4108.54,21.963,118.87,1.0718
06/02/2022,1868.13,1846.44,1870.69,1843.76,4176.82,22.33,116.87,1.0745
06/01/2022,1845.55,1837.37,1850.4,1828.28,4101.23,21.962,115.26,1.0646
05/31/2022,1837.09,1856.4,1857.69,1834.9,4132.15,21.737,114.67,1.0733
05/30/2022,1856.21,1852.19,1864.34,1847.92,,21.688,117.61,1.0777
05/27/2022,1852.73,1850.48,1862.3,1847.76,4158.24,22.138,115.07,1.0727
05/26/2022,1849.82,1853.48,1854.71,1841.14,4057.84,21.965,114.09,1.0724
05/25/2022,1852.83,1865.09,1868.4,1842.94,3978.73,21.87,110.33,1.068
05/24/2022,1865.9,1853.59,1869.99,1849.06,3941.48,22.063,109.77,1.0734
05/23/2022,1853.22,1846.53,1865.65,1844.08,3973.75,21.723,110.29,1.0689
05/20/2022,1845.68,1842.12,1849.59,1832.35,3901.36,21.674,113.23,1.056
05/19/2022,1841.72,1816.6,1849.46,1810.55,3900.79,21.908,112.21,1.0586
05/18/2022,1815.61,1815.2,1825.02,1807.3,3923.68,21.544,109.59,1.0466
05/17/2022,1814.67,1824.18,1836.55,1812.68,4088.85,21.75,112.4,1.0547
05/16/2022,1823.79,1811.05,1827.23,1786.95,4008.01,21.551,114.2,1.0431
05/13/2022,1811.15,1822.48,1829.06,1799.24,4023.89,21.001,110.49,1.0411
05/12/2022,1821.65,1852.58,1859.3,1820.93,3930.08,20.773,106.13,1.0379
05/11/2022,1852.12,1838.41,1857.99,1831.83,3935.18,21.575,105.71,1.0511
05/10/2022,1838.14,1853.74,1865.76,1835.46,4001.05,21.424,99.76,1.0527
05/09/2022,1853.92,1883.8,1885.95,1851.36,3991.24,21.82,103.09,1.0555
05/06/2022,1882.96,1877.3,1892.93,1865.84,4123.34,22.367,109.77,1.0551
05/05/2022,1877.01,1881.47,1910.03,1872.48,4152.38,22.443,108.26,1.054
05/04/2022,1881.21,1868.04,1889.74,1861.17,4300.17,22.402,107.81,1.0621
05/03/2022,1867.79,1863.05,1878.19,1850.33,4175.48,22.665,102.41,1.052
05/02/2022,1862.77,1896.09,1900.1,1854.74,4155.38,22.584,105.17,1.0504
04/29/2022,1896.4,1894.43,1919.97,1892.25,4131.93,23.085,104.69,1.0541
04/28/2022,1894.34,1886.14,1897.32,1872.19,4287.5,23.181,105.36,1.0494
04/27/2022,1885.74,1905.45,1907.25,1881.39,4183.96,23.483,102.02,1.0555
04/26/2022,1905.56,1897.95,1911.5,1895.38,4175.2,23.572,101.7,1.0636
04/25/2022,1897.69,1931.09,1934.71,1891.05,4296.12,23.698,98.54,1.0711
04/22/2022,1929.73,1951.49,1955.93,1926.52,4271.78,24.28,102.07,1.0794
04/21/2022,1951.49,1957.84,1958,1936.79,4393.66,24.657,103.79,1.0836
04/20/2022,1957.41,1950.34,1958.57,1939.16,4459.45,25.303,102.75,1.085
04/19/2022,1949.84,1979.19,1982.31,1943.8,4462.21,25.426,102.56,1.0786
04/18/2022,1978.5,1972.84,1998.6,1971.05,4391.69,26.181,108.21,1.078
04/15/2022,1974.54,1974.28,1975.69,1973.05,,,,1.0806
04/14/2022,1973.52,1977.78,1980.81,1960.9,4392.59,25.735,106.95,1.0827
04/13/2022,1977.72,1967.21,1981.82,1962.59,4446.59,26.06,104.25,1.0885
04/12/2022,1966.59,1953.99,1978.63,1949.48,4397.45,25.769,100.6,1.0826
04/11/2022,1953.43,1947.15,1969.41,1940.05,4412.53,25.022,94.29,1.0883
04/08/2022,1945.85,1931.92,1948.46,1927.38,4488.28,24.866,98.26,1.0876
04/07/2022,1932.17,1925.32,1938.07,1920.27,4500.21,24.785,96.03,1.0878
04/06/2022,1925.32,1923.69,1933.65,1915.24,4481.15,24.509,96.23,1.0893
04/05/2022,1923.53,1933.38,1944.73,1917.74,4525.12,24.588,101.96,1.0903
04/04/2022,1932.44,1924.94,1937.05,1915.55,4582.64,24.636,103.28,1.097
04/01/2022,1924.3,1937.51,1939.99,1917.56,4545.86,24.689,99.27,1.1053
03/31/2022,1937.23,1932.8,1949.92,1918.98,4530.41,25.158,100.28,1.1065
03/30/2022,1933.06,1920.07,1938.53,1915.74,4602.45,25.146,107.82,1.1156
03/29/2022,1919.19,1922.95,1929.41,1890.03,4631.6,24.736,104.24,1.1085
03/28/2022,1923.2,1958.75,1959.36,1916.83,4575.52,25.196,105.96,1.0978
03/25/2022,1957.4,1957.49,1964.49,1943.55,4543.04,25.615,113.9,1.0981
03/24/2022,1957.48,1944.88,1966.19,1937.18,4520.16,25.92,112.34,1.0996
03/23/2022,1943.42,1922.35,1948.55,1915.32,4456.23,25.189,114.93,1.1004
03/22/2022,1921.44,1935.86,1938.59,1910.89,4511.61,24.904,111.76,1.1027
03/21/2022,1935.95,1922.24,1940.69,1918.01,4461.18,25.313,112.12,1.1014
03/18/2022,1921.09,1942.9,1945.51,1917.93,4463.09,25.087,104.7,1.1055
03/17/2022,1942.64,1927.56,1950.1,1923.4,4411.67,25.616,102.98,1.1089
03/16/2022,1927.93,1918.1,1929.87,1895.22,4357.95,24.71,95.04,1.1032
03/15/2022,1917.84,1951.02,1954.95,1906.73,4262.45,25.158,96.44,1.0951
03/14/2022,1951.11,1985.49,1990.33,1949.87,4173.11,25.298,103.01,1.0939
03/11/2022,1985.29,1996.15,1999.22,1958.8,4204.31,26.16,109.33,1.0909
03/10/2022,1995.86,1991.94,2009.57,1970.66,4259.52,26.256,106.02,1.0983
03/09/2022,1991.49,2052.75,2059.25,1976.3,4277.88,25.816,108.7,1.1075
03/08/2022,2052.41,1998.3,2070.29,1981,4170.62,26.895,123.7,1.0899
03/07/2022,1998.11,1977.09,2002.9,1960.76,4201.09,25.72,119.4,1.0852
03/04/2022,1968.45,1935.65,1970.8,1929.78,4328.87,25.789,115.68,1.0926
03/03/2022,1935.21,1926.49,1941.47,1921.73,4363.49,25.212,107.67,1.1064
03/02/2022,1926.11,1943.69,1948.18,1913.82,4386.54,25.19,110.6,1.1121
03/01/2022,1943.22,1908.19,1950.45,1900.93,4306.26,25.541,103.41,1.1126
02/28/2022,1907.9,1920.86,1929.36,1890.59,4373.79,24.366,95.72,1.1219
02/25/2022,1887.56,1903.55,1921.54,1883.1,4384.62,24.017,91.59,1.1267
02/24/2022,1903.14,1907.99,1974.48,1879.05,4288.7,24.697,92.81,1.1191
02/23/2022,1907.55,1898.44,1911,1889.23,4225.5,24.574,92.1,1.1309
02/22/2022,1898.13,1905.89,1914.44,1891.16,4304.74,24.331,92.35,1.1325
02/21/2022,1905.63,1900.4,1908.38,1887.19,,24.311,92.65,1.131
02/18/2022,1897.87,1897.94,1902.84,1886.16,4348.87,24.019,91.07,1.1321
02/17/2022,1897.27,1868.84,1901.57,1867.18,4380.26,23.903,91.76,1.136
02/16/2022,1868.37,1853.4,1873.16,1849.94,4475.01,23.633,93.66,1.1373
02/15/2022,1853.06,1870.94,1879.89,1844.27,4471.07,23.369,92.07,1.1356
02/14/2022,1870.29,1861.55,1874.41,1850.45,4401.67,23.877,95.46,1.1305
02/11/2022,1859.96,1827.25,1865.63,1820.79,4418.64,23.392,93.1,1.1349
02/10/2022,1826.57,1832.94,1842.35,1821.46,4504.06,23.545,89.88,1.1427
02/09/2022,1832.43,1826.05,1836.35,1824.5,4587.18,23.362,89.66,1.1422
02/08/2022,1825.48,1820.59,1829.09,1815.06,4521.54,23.221,89.36,1.1414
02/07/2022,1820.31,1806.99,1824.06,1806.94,4483.87,23.098,91.32,1.1442
02/04/2022,1807.49,1804.8,1815.44,1790.94,4500.54,22.497,92.31,1.1446
02/03/2022,1804.4,1807.19,1809.22,1788.39,4477.44,22.397,90.27,1.1438
02/02/2022,1806.5,1800.94,1811.53,1794.11,4589.32,22.73,88.26,1.1303
02/01/2022,1800.65,1796.72,1809.16,1795.13,4546.54,22.618,88.2,1.1269
01/31/2022,1796.47,1791.19,1800.23,1785.03,4515.55,22.419,88.15,1.1233
01/28/2022,1791.03,1796.94,1799.82,1779.88,4431.85,22.32,86.82,1.1143
01/27/2022,1796.51,1818.44,1822.51,1790.98,4326.5,22.676,86.61,1.1143
01/26/2022,1818.12,1847.99,1850.44,1814.9,4349.93,23.807,87.35,1.1237
01/25/2022,1847.56,1843.34,1853.98,1834.64,4356.45,23.896,85.6,1.1299
01/24/2022,1843.06,1834.49,1844.53,1829.09,4410.13,23.8,83.31,1.1323
01/21/2022,1833.24,1838.65,1843.53,1828.04,4397.93,24.32,85.14,1.134
01/20/2022,1838.36,1840.3,1848.36,1835.67,4482.73,24.716,86.9,1.131
01/19/2022,1839.96,1813.69,1843.72,1809.97,4532.76,24.231,86.96,1.1341
01/18/2022,1813.54,1819.77,1823.01,1805.53,4577.34,23.492,85.43,1.1325
01/17/2022,1818.99,1817.9,1823.72,1812.67,,23.492,83.69,1.1407
01/14/2022,1817.22,1822.55,1829.66,1814.13,4662.85,22.918,83.82,1.1414
01/13/2022,1822.09,1825.94,1828.38,1811.83,4659.02,23.162,82.12,1.1453
01/12/2022,1825.32,1822.49,1828.33,1814.2,4726.35,23.207,82.64,1.1442
01/11/2022,1822.01,1801.69,1823.35,1800.09,4713.07,22.812,81.22,1.1364
01/10/2022,1801.41,1795.41,1802.57,1790.43,4670.29,22.462,78.23,1.1324
01/07/2022,1795.63,1789.55,1799.2,1782.63,4677.02,22.409,78.9,1.1359
01/06/2022,1788.68,1809.94,1811.89,1786.03,4696.05,22.19,79.46,1.1291
01/05/2022,1809.53,1814.9,1829.82,1807.97,4700.58,23.17,77.85,1.1313
01/04/2022,1814.56,1801.34,1816.83,1798.44,4793.54,23.056,76.99,1.1285
01/03/2022,1800.85,1830.14,1832.06,1797.93,4796.56,22.81,76.08,1.1294
12/31/2021,1828.39,1815.44,1830.58,1814.15,4766.18,23.352,75.21,1.1368
12/30/2021,1815.01,1803.99,1817.44,1795.78,4778.73,23.06,76.99,1.1323
12/29/2021,1803.66,1805.59,1808.16,1788.94,4793.06,22.85,76.56,1.1348
12/28/2021,1805.37,1811.84,1820.7,1804.38,4786.36,23.113,75.98,1.1309
12/27/2021,1810.9,1808.19,1813.74,1802.89,4791.19,22.981,75.57,1.1325
12/24/2021,1808.11,1808.19,1812.7,1801.61,,,,1.1317
12/23/2021,1807.91,1803.69,1811.02,1798.88,4725.78,22.935,73.79,1.1328
12/22/2021,1803.4,1788.94,1805.13,1785.41,4696.56,22.804,72.76,1.1324
12/21/2021,1788.36,1789.74,1800.85,1784.58,4649.23,22.513,71.12,1.1283
12/20/2021,1789.32,1799.4,1804.32,1787.98,4568.02,22.281,68.23,1.1275
12/17/2021,1797.68,1799.55,1814.63,1795.67,4620.64,22.522,70.86,1.1239
12/16/2021,1799.03,1777.4,1799.53,1775.43,4668.67,22.471,72.38,1.1328
12/15/2021,1777.06,1770.49,1781.04,1753.84,4709.84,21.53,70.87,1.1285
12/14/2021,1770.18,1787.19,1789.74,1766.31,4634.09,21.909,70.73,1.1257
12/13/2021,1786.94,1782.94,1791.78,1781.51,4669.15,22.315,71.29,1.1283
12/10/2021,1782.51,1774.94,1789.47,1769.43,4712.02,22.182,71.67,1.1311
12/09/2021,1774.46,1782.49,1788.05,1772.8,4667.45,22.001,70.94,1.1292
12/08/2021,1782.06,1784.4,1793.6,1779.45,4701.21,22.422,72.36,1.1342
12/07/2021,1784.04,1778.08,1788.02,1771.93,4686.75,22.512,72.05,1.1263
12/06/2021,1778.11,1784.79,1787.87,1775.91,4591.67,22.252,69.49,1.1285
12/03/2021,1783.74,1768.84,1786.44,1765.63,4538.43,22.47,66.26,1.1313
12/02/2021,1768.64,1783.05,1783.58,1761.68,4577.1,22.304,66.5,1.1299
12/01/2021,1782.66,1774.15,1794.8,1771.96,4513.04,22.324,65.57,1.1319
11/30/2021,1773.78,1785.34,1809.38,1769.43,4567,22.799,66.18,1.1336
11/29/2021,1785.01,1790.05,1799.8,1781.23,4655.27,22.836,69.95,1.1291
11/26/2021,1791.81,1788.7,1815.78,1780.79,4594.62,23.122,68.15,1.1317
11/25/2021,1788.45,1789.49,1795.65,1785.85,,23.135,77.41,1.1206
11/24/2021,1788.5,1790.34,1797.01,1778.44,4701.46,23.514,78.39,1.1197
11/23/2021,1789.73,1805.65,1812.5,1781.63,4690.7,23.452,78.5,1.1246
11/22/2021,1805.04,1846.74,1849.49,1801.95,4682.95,24.318,76.75,1.1234
11/19/2021,1844.6,1858.9,1865.76,1842.98,4697.96,24.8,76.1,1.1288
11/18/2021,1858.46,1866.97,1871.29,1854.94,4706.64,24.919,79.01,1.1369
11/17/2021,1866.96,1850.34,1868.32,1849.38,4688.67,25.185,78.36,1.1319
11/16/2021,1849.91,1862.94,1877.4,1849.16,4700.9,24.963,80.76,1.1319
11/15/2021,1862.46,1868.15,1870.57,1855.73,4682.81,25.124,80.88,1.1367
11/12/2021,1864.04,1861.99,1868.69,1844.78,4682.85,25.365,80.79,1.145
11/11/2021,1861.52,1849.69,1866.35,1842.66,4649.27,25.32,81.59,1.145
11/10/2021,1849.57,1831.9,1868.7,1821.6,4646.71,24.791,81.34,1.1478
11/09/2021,1831.48,1824.74,1833.08,1817.7,4685.25,24.337,84.15,1.1591
11/08/2021,1824.26,1818.44,1826.93,1812.08,4701.7,24.561,81.93,1.1586
11/05/2021,1816.73,1792.14,1818.61,1785.17,4697.53,24.176,81.27,1.1566
11/04/2021,1791.7,1769.98,1799.26,1769.13,4680.06,23.93,78.81,1.1552
11/03/2021,1769.52,1787.71,1788.42,1758.45,4660.57,23.251,80.86,1.161
11/02/2021,1787.28,1793.61,1796.91,1785.78,4630.65,23.524,83.91,1.1577
11/01/2021,1793.05,1783.24,1796.2,1778.89,4613.67,24.091,84.05,1.1606
10/29/2021,1782.81,1799.03,1801.49,1771.7,4605.38,23.966,83.57,1.1561
10/28/2021,1798.62,1796.78,1810.49,1792.34,4596.42,24.139,82.81,1.1679
10/27/2021,1796.69,1793.04,1799.38,1782.83,4551.68,24.191,82.66,1.1604
10/26/2021,1792.63,1807.9,1808.5,1781.98,4574.79,24.088,84.65,1.1595
10/25/2021,1807.47,1794,1810.18,1791.95,4566.48,24.592,83.76,1.1606
10/22/2021,1792.48,1782.89,1814.22,1782.46,4544.9,24.449,83.76,1.1647
10/21/2021,1782.76,1782.1,1789.61,1776.07,4549.78,24.17,82.5,1.1621
10/20/2021,1781.83,1769.28,1788.68,1766.5,4536.19,24.445,83.87,1.1649
10/19/2021,1768.87,1764.99,1785.53,1762.48,4519.63,23.883,82.96,1.1632
10/18/2021,1764.6,1767.74,1772.3,1759.68,4486.48,23.264,82.44,1.1609
10/15/2021,1767.26,1795.81,1796.89,1764.48,4471.37,23.349,82.28,1.16
10/14/2021,1795.56,1792.75,1800.91,1786.22,4438.23,23.477,81.31,1.1594
10/13/2021,1792.65,1760.05,1796.31,1757.89,4363.8,23.17,80.44,1.1592
10/12/2021,1759.93,1754.12,1769.78,1750.47,4350.64,22.514,80.64,1.1527
10/11/2021,1753.86,1757.34,1761.36,1749.68,4361.19,22.665,80.52,1.1551
10/08/2021,1756.67,1755.89,1781.6,1753.03,4391.36,22.705,79.35,1.1567
10/07/2021,1755.29,1762.74,1767.45,1751.38,4399.76,22.658,78.3,1.155
10/06/2021,1762.48,1760.45,1765.78,1745.45,4363.55,22.532,77.43,1.1556
10/05/2021,1759.96,1769.75,1771.03,1748.56,4345.72,22.608,78.93,1.1596
10/04/2021,1769.51,1762.15,1771.06,1747.23,4300.46,22.644,77.62,1.1621
10/01/2021,1760.36,1756.91,1764.4,1749.36,4357.05,22.536,75.88,1.1594
09/30/2021,1756.66,1726.4,1764.53,1721.67,4307.54,22.047,75.03,1.1581
09/29/2021,1726.11,1733.97,1746.11,1721.07,4359.46,21.485,74.83,1.1595
09/28/2021,1733.68,1750.45,1754.8,1727.18,4352.63,22.46,75.29,1.1681
09/27/2021,1749.85,1751.24,1761.29,1744.19,4443.11,22.685,75.45,1.1694
09/24/2021,1749.86,1742.82,1758.08,1739.6,4455.48,22.411,73.98,1.1714
09/23/2021,1742.57,1768.4,1776.6,1737.84,4448.98,22.663,73.3,1.1736
09/22/2021,1767.91,1774.51,1787.51,1764.84,4395.64,22.89,72.23,1.1686
09/21/2021,1774.25,1764.19,1782.07,1757.61,4354.18,22.593,70.56,1.1723
09/20/2021,1763.88,1754.3,1767.31,1742.24,4357.73,22.185,70.29,1.1725
09/17/2021,1754.16,1753.67,1768.22,1747.07,4432.99,22.316,71.97,1.1725
09/16/2021,1753.39,1794.34,1796.71,1745.04,4473.76,22.774,72.61,1.1764
09/15/2021,1792.59,1804.53,1807.3,1790.28,4480.7,23.779,72.61,1.1815
09/14/2021,1804.27,1793.77,1808.99,1781.89,4443.05,23.863,70.46,1.1802
09/13/2021,1793.49,1788.55,1798.66,1783.73,4468.73,23.775,70.45,1.1808
09/10/2021,1787.34,1794.61,1804.15,1786.53,4458.58,23.878,69.72,1.1814
09/09/2021,1794.69,1789.19,1801.19,1783.83,4493.28,24.156,68.14,1.1825
09/08/2021,1788.93,1794.41,1802.6,1781.98,4514.07,24.036,69.3,1.1813
09/07/2021,1794.13,1823.27,1827.39,1792.33,4520.03,24.357,68.35,1.1839
09/06/2021,1823.1,1828.66,1830.6,1820.58,,24.373,68.8,1.1868
09/03/2021,1826.19,1809.98,1834.55,1808.53,4535.43,24.79,69.29,1.1882
09/02/2021,1809.4,1813.92,1817.53,1804.48,4536.95,23.9,69.99,1.1873
09/01/2021,1813.66,1813.57,1820.21,1808.18,4524.09,24.201,68.59,1.1837
08/31/2021,1813.43,1810.26,1819.43,1801.47,4522.68,23.991,68.5,1.1807
08/30/2021,1810.17,1817.55,1823.38,1807.28,4528.79,23.992,69.21,1.1795
08/27/2021,1816.67,1792.6,1819.38,1787.66,4509.37,24.081,68.74,1.1793
08/26/2021,1792.16,1791.09,1798.61,1779.48,4469.91,23.567,67.42,1.175
08/25/2021,1790.68,1802.86,1803.57,1782.45,4496.19,23.795,68.36,1.177
08/24/2021,1802.61,1805.61,1810.03,1799.73,4486.23,23.909,67.54,1.1753
08/23/2021,1805.2,1780.55,1806.92,1776.03,4479.54,23.666,65.64,1.1743
08/20/2021,1780.87,1780.44,1788.85,1777.96,4441.67,23.12,62.32,1.1696
08/19/2021,1780.18,1788.05,1792.56,1774.2,4405.8,23.239,63.69,1.1674
08/18/2021,1787.59,1786.21,1794.31,1777.31,4400.27,23.43,65.46,1.171
08/17/2021,1785.96,1787.51,1795.77,1780.28,4448.08,23.666,66.59,1.1708
08/16/2021,1787.24,1778.44,1789.51,1770.38,4479.66,23.799,67.29,1.1777
08/13/2021,1779.15,1752.72,1780.53,1751.27,4468,23.787,68.44,1.1791
08/12/2021,1752.44,1751.66,1758.62,1741.29,4460.84,23.122,69.09,1.1727
08/11/2021,1751.56,1729.01,1754.63,1723.54,4447.7,23.496,69.25,1.1737
08/10/2021,1728.71,1729.74,1738.49,1717.17,4436.75,23.402,68.29,1.1718
08/09/2021,1729.46,1763.34,1764.65,1684.77,4432.35,23.279,66.48,1.1737
08/06/2021,1762.69,1804.28,1804.93,1758.33,4436.52,24.339,68.28,1.176
08/05/2021,1804.01,1811.69,1815.45,1797.74,4429.1,25.303,69.09,1.1832
08/04/2021,1811.41,1810.6,1832.1,1806.54,4402.68,25.474,68.15,1.1835
